artist,wholefestival_url,wholefestival_description,soundcloud_url,soundcloud_urls,wholefestival_links,soundcloud_canonical_url,soundcloud_followers,soundcloud_description,soundcloud_avatar_url,genres,scrape_status,scraped_at
Dicky Miles,https://www.wholefestival.com/lineup,"Dicky Miles is a multidisciplinary artist moving through sound, movement, and image with an instinct both ceremonial and nocturnal. Rooted in disco, house, and traces of Afro-diasporic rhythms, their sets unfold like intimate rituals: sensual, percussive, and emotionally charged. Existing somewhere between underground mythology and dancefloor transcendence, Dicky Miles blurs the line between DJ set, performance, and apparition.",,,https://www.instagram.com/dicky.miles,,,,,house; disco,no_soundcloud_link,2026-07-11T09:17:17+00:00
DIRTY DADDY DON,https://www.wholefestival.com/lineup,"Organizer of Berlin's longstanding transsexual dungeon party DUMP - Dirty Daddy Don mixes darkroom tracks, tracks to fuck and get fucked to. His signature sound ranges from horny house to seductive techno; he’s sure to come equipped with a filthy selection of tracks and a shameless attitude. Photographer: Darren Black",https://soundcloud.com/dirtydaddydon,https://soundcloud.com/dirtydaddydon,https://www.instagram.com/dirtydaddydon/;https://soundcloud.com/dirtydaddydon,https://soundcloud.com/dirtydaddydon,1129,"organizer @dumpparty

01.08 - FAGDOLLS
25.07 - Substation - AMT, Berlin
25.07 - Gegen X Prncptl CSD - Komplex, Berlin
22.07 - New Faces: TANGA - Tresor, Berlin
17.07 - Whole Festival - Ferropolis
19.06 - Ziber - VOID Club, Berlin
13.06 - Hornies - Arkaoda, Berlin
29.05 - DUMP - Blue Velvet, Berlin
15.05 - Substation - AMT, Berlin
14.05 - Renate, Berlin
09.05 - Queerpol - Südpol, Hamburg
18.04 - teaser. - Objekt klein a, Dresden
10.04 - Freaks - Ficken3000, Berlin
03.04 - Yellow Mellow - Aeden, Berlin
29.03 - unfold - FOLD, London
28.03 - Cottage Club - Coroners Court, Bristol
13.03 - Kinky Sundays - Tillatec, Amsterdam
23.01 - Interzone - secret location, Berlin
17.01 - TANGA - Fitzroy, Berlin
08.01 - Möbel Olfe, Berlin
27.12 - The Jama, Toronto
28.11 - Power Dance Club - Kreuzwerk, Berlin
29.10 - youngSTARS - Boiler, Berlin
18.10 - Diskota Forte - Sports Club, Berlin
10.10 - DUMP - secret location
05.10 - HIGH Bar - Ficken3000, Berlin
19.09 - Body2Body - Kater, Berlin
17.08 - Lecken - OXI, Berlin
16.08 - Sisyphos, Berlin
03.08 - Queerpol - Südpol, Hamburg
26.07 - GEGEN X PRNCPTL CSD - ELSE, Berlin
21.07 - Whole Festival - Ferropolis
21.06 - Leck My Buttons - OXI, Berlin
30.05 - DUMP - Secret Location, Berlin
29.05 - Herrentag LOL - Berlin
28.05 - I <3 Trans - ACUD, Berlin
22.05 - Möbel Olfe, Berlin
11.05 - Buttons - OXI, Berlin
03.05 - TANGA X NWD X DUMP - Fitzroy, Berlin
24.04 - Mixed Messages - OHM, Berlin
20.04 - Kinky Sundays - NTSC, Hamburg
29.03 - Klubnacht - AVA Club, Berlin
21.03 - Palestine Fundraiser - Crack Bellmer, Berlin
31.01 - BODYSHIFT X NEST - Kater, Berlin
24.01 - Möbel Olfe, Berlin
08.01 - CLUBSAUNA - Boiler, Berlin
20.12 - Office XXXmas Party - BLK Space, Toronto
13.12 - SOUP - secret location, Berlin
08.12 - unfold - FOLD, London
01.12 - Kinky Sundays - NTSC, Hamburg
29.11 - Lecken - Kreuzwerk, Berlin
22.11 - Gegen - KitKat, Berlin
15.11 - Ficken 4 Freaks - Ficken3000, Berlin
03.11 - Between Us - Möbel Olfe, Berlin
26.10 - HIGH - secret location, Berlin
08.09 - Sisyphos, Berlin
06.09 - Gegen - KitKat, Berlin
04.08 - Whole Festival - Ferropolis
28.07 - Queerpol - Südpol, Hamburg
27.07 - Gegen x Pornceptual - ELSE, Berlin
13.07 - Fagbar - Fischladen, Berlin
29.06 - Leck My Buttons - OXI, Berlin
23.06 - Kinky Sundays - Kreuzwerk, Berlin
22.06 - Cirque Du Posezur - Berlin
08.06 - Lecken x Queerpol - Südpol, Hamburg
17.05 - Metamorphosis - Toronto
11.05 - Pornceptual - MUENZE, Berlin
05.04 - DUMP - Zur Klappe, Berlin
31.03 - Sisyphos, Berlin
23.03 - Buttons - Watergate, Berlin
10.03 - Royal Highness - Fitzroy, Berlin
07.03 - Wide Open - Zum Böhmischen Dorf, Berlin
10.02 - Botta Nova - SMUT, Athens
16.12 - SOUP - secret location, Berlin
03.12 - Kinky Sundays - PAL, Hamburg
25.11 - GLITBAQ - Rote Fabrik, Zürich
03.11 - Gegen - KitKat, Berlin
20.10 - Fleisch - Moiré, Hamburg
08.10 - Aufguss - Re:mise, Berlin
15.09 - OXI, Berlin
26.08 - Buttons d'Amore - Club OST, Berlin
20.08 - Sisyphos, Berlin
19.08 - DUMP - Untertage, Berlin
30.07 - Whole Festival - Ferropolis
16.07 - poly|motion - ://about blank, Berlin
01.07 - Pornceptual - ELSE, Berlin
17.06 - Buttons - Club OST, Berlin
27.05 - Sisyphos - Berlin
19.05 - Riot - Christa Kupfer, Berlin
13.05 - Holey - Rote Sonne, Munich
05.05 - Gegen - Kitkat, Berlin
30.04 - Buttons d'Amore - Club OST, Berlin
21.04 - DUMP - Untertage, Berlin
15.04 - Golosa - ://about blank, Berlin
07.04 - Queerbump @ Revolver - KitKat, Berlin
18.03 - Back Alley Sally's - Renate, Berlin
11.03 - Interzone - Berlin
10.03 - Lecken - Aeden, Berlin
17.02 - Möbel Olfe, Berlin
01.01 - Gegen/Pornceptual - RSO, Berlin
09.12 - Renate, Berlin
18.11 - fuck your gender - Untertage, Berlin
16.11 - Hot Sauce - SchwuZ, Berlin
22.10 - Bedside - Basement, Copenhagen
07.10 - Gegen - RSO, Berlin
17.09 - Renate, Berlin
10.09 - Trans Rave - secret location, Berlin
09.09 - Sleaze - SchwuZ, Berlin
27.08 - Whole Festival - Ferropolis
19.08 - intransitwith - Möbel Olfe, Berlin
13.08 - Golosa - Suicide Club, Berlin
12.08 - ://about blank, Berlin
20.07 - Hot Sauce - SchwuZ, Berlin
16.07 - Supernature - ://about blank, Berlin
25.06 - Pride Toronto
11.06 - Power Play - Berlin
03.06 - intransitwith - Möbel Olfe, Berlin
02.06 - TRANARCHY - Renate, Berlin
28.05 - Buttons - Zenner, Berlin
26.05 - ://about blank, Berlin
14.05 - Pornceptual - Alte Münze, Berlin
13.05 - Transtronica - Kampnagel, Hamburg
15.04 - Q-Tekk - Schwester Martha, Berlin
08.04 - Renate, Berlin
19.03 - Mondo Bizzarro - Alte Münze, Berlin
08.03 - Sexed Power - ://about blank, Berlin
11.12 - OMOH - Arzenál, Budapest
12.11 - DUMP - Untertage, Berlin
06.11 - SWEAT - Ved Siden Af, Copenhagen
29.10 - TrashEra - Renate, Berlin
18.09 - Pornceptual - Anomalie, Berlin
10.09 - House of Red Doors - Renate, Berlin
15.08 - Transmission - H13, Berlin
11.07 - Trans Rave - secret location
11.07 - Lecken Rave - secret location
10.07 - Fies & Zornig, Berlin
29.02 - Grace - Dublin
07.02 - DURCH - Zur Klappe, Berlin
25.01 - Pornceptual - Alte Münze, Berlin
13.12 - DUMP - Untertage, Berlin
09.11 - Grace x European Club Night - Diskothek Melancholie, Berlin
25.10 - Pansy's Paradise - Night Embassy, Berlin
27.09 - Whore Moans
26.09 - House of Red Doors - Renate, Berlin
21.09 - Autopoiesis - Kantine am Berghain, Berlin
13.09 - Boar - Polygon, Berlin
08.09 - poly|motion - ://about blank, Berlin
28.07 - Bushwig Berlin - Festsaal Kreuzberg, Berlin
26.07 - CSD Reclaim: Room 4 Resistance x Lecken x mina - Polygon, Berlin
19.07 - DUMP - Untertage, Berlin
14.06 - Whole Festival - Ferropolis
08.06 - Pornceptual - Alte Münze, Berlin
23.05 - Whore Moans - Sounds, Berlin
03.05 - DUMP - Untertage, Berlin
25.04 - New World Dysorder - Diskothek Melancholie, Berlin 
21.04 - Boar - Polygon, Berlin
20.04 - Buttons - ://about blank, Berlin
30.03 - Harder - Loftus Hall, Berlin
23.03 - Suspension - Galeria Zé dos Bois, Lisbon
22.02 - mina - secret location, Lisbon
16.02 - Harder - Club Borderline, Basel
25.01 - DUMP - Untertage, Berlin
12.12 - Night Shift - Edenhall, Toronto
01.12 - Room 4 Resistance - Trauma Bar, Berlin
23.11 - Spring Breakers - SchwuZ, Berlin
26.10 - Riot - Fiese Remise, Berlin
13.10 - Unteilbar Demo - Berlin
12.10 - DUMP - Untertage, Berlin
08.09 - Boar - Chalet, Berlin
24.08 - DUMP - Untertage, Berlin
16.06 - PEPP - Rauchhaus, Berlin
13.06 - Hölle - Loophole, Berlin
03.05 - Autopoiesis - ://about blank, Berlin
13.04 - DUMP - Untertage, Berlin

djdirtydaddydon@gmail.com",https://i1.sndcdn.com/avatars-KG6GUBy8pVzGQLPI-FuCnZA-large.jpg,techno; house,ok,2026-07-11T09:17:17+00:00
Diva Beirut,https://www.wholefestival.com/lineup,Diva Beirut is a Lebanese drag performer based in Paris joining Adira which is is an Arab*/SWANA club and event series based in Berlin.,,,https://www.instagram.com/divabeirut/,,,,,,no_soundcloud_link,2026-07-11T09:17:17+00:00
DJ AYA,https://www.wholefestival.com/lineup,"Zurich-born, Berlin-based DJ AYA has a keen eye for finessing the vitality, sexiness and punch of any given dancefloor. Their first love, UK bass, captured their imagination over a seven-year stint in London and brought her into electronic music’s binding fold. Bass’ quintessential groove and playfulness have been a lens informing AYA’s gravitational pull towards different genres. From immersive, clean techno kicks to diasporic motifs like grime vocals and reggaeton beats, AYA saw mixing as an opportunity to express the wide-ranging palate they’d long-cultivated as a listener. In only a handful of years, AYA’s career has quickly blown up to whirlwind status with a far-reaching roster of weekly gigs, including standouts like Khidi in Tbilisi, Boiler Room sets in Lisbon and Berlin, and label Live From Earth’s Panorama Bar showcase. AYA, whose intention is always “to bring the queers to dance”, finds great inspiration in the camaraderie of Berlin’s local scene, along with exploring new underground communities in cities like Istanbul and Tokyo. A self-described “hypegirl”, AYA continues to champion their distinctive sound, faithfully meshing their bass-y roots and floor-ready drive. For full AYA immersion, future production is in the works and being perfected. Never slowing down, AYA’s upcoming movements include a thorough Asia tour and further pivots outside continental Europe. Back home, she anticipates a busy spring and summer - most excitedly Europe’s queer weekend of the year, Whole Festival. Like the tracks she plays, AYA commands the desk with a joyous presence and sharp intuitiveness. She’s rightfully become an important player in Berlin’s new wave of DJs channelling the city’s limitless energy and sense of possibility. Photographer: Thomás Eyzaguierre",https://soundcloud.com/djayaya,https://soundcloud.com/djayaya,https://www.instagram.com/dj__aya/;https://soundcloud.com/djayaya,https://soundcloud.com/djayaya,3865,"DJ AYA
booking: eva@reprisetalentagency.com

Zurich-born, Berlin-based DJ AYA has a keen eye for finessing the vitality, sexiness and punch of any given dancefloor. Their first love, UK bass, captured their imagination over a seven-year stint in London and brought her into electronic music’s binding fold. Bass’ quintessential groove and playfulness have been a lens informing AYA’s gravitational pull towards different genres. From immersive, clean techno kicks to diasporic motifs like grime vocals and reggaeton beats, AYA saw mixing as an opportunity to express the wide-ranging palate they’d long cultivated as a listener. 

In only a handful of years, AYA’s career has quickly blown up to whirlwind status with a far-reaching roster of weekly gigs, including standouts like Khidi in Tbilisi, Boiler Room sets in Lisbon and Berlin, and label Live From Earth’s Panorama Bar showcase. AYA, whose intention is always “to bring the queers to dance”, finds great inspiration in the camaraderie of Berlin’s local scene, along with exploring new underground communities in cities like Istanbul and Tokyo. 

A self-described “hypegirl”, AYA continues to champion their distinctive sound, faithfully meshing their bass-y roots and floor-ready drive. For full AYA immersion, future production is in the works and being perfected. Never slowing down, AYA’s upcoming movements include a thorough Asia tour and further pivots outside continental Europe. Back home, she anticipates a busy spring and summer - most excitedly Europe’s queer weekend of the year, Whole Festival.  

Like the tracks she plays, AYA commands the desk with a joyous presence and sharp intuitiveness. She’s rightfully become an important player in Berlin’s new wave of DJs channelling the city’s limitless energy and sense of possibility.",https://i1.sndcdn.com/avatars-lIXykGWp36XfMAyG-RoBNFQ-large.jpg,techno; bass; grime; reggaeton,ok,2026-07-11T09:17:17+00:00
Dj Fuckoff,https://www.wholefestival.com/lineup,"DJ Fuckoff is quickly becoming a star in the constellation of club culture. The DJ, producer and vocalist does things hard, fast and with raw intensity, blending techno, bass, happy hardcore, juke, breakbeat and more. The Berlin-via-New Zealand producer and DJ has always felt alien in some way; like she’s not fully from this Earth. That idea is something she’s relaying through the concept of planet Fucktopia, her own world. Photographer: Lea Taillefer",,,https://www.instagram.com/dj.fuckoff/;https://www.tiktok.com/@dj_fuckoff;https://open.spotify.com/artist/47fPXXrqnkQcaQ951UA3cm?si=jtxr5e8SRtmeAoBmVuRtmA,,,,,techno; breakbeat; bass,no_soundcloud_link,2026-07-11T09:17:17+00:00
DJ LOUI FROM JUPITER4,https://www.wholefestival.com/lineup,"DJ LOUI’s musical vision combines the most atmospheric Tribal influences with innovative mutant-stomping Techno and surrealist Bass, coordinating time and space in communion with the listeners, that resists trends and styles. His work as curator for projects like @metarave @safadaberlin and @suenalatam festival, is constantly encouraging LATAM artists to make their art visible to a larger audience in Europe, and took him to collaborate with institutions such as @ctmfestival @razzmatazzclubs and @lamachineparis among others. He is constantly in the works to connect scenes and create spaces for alternative club culture. In 2023 he released his first LP called \ Photographer: Nicho Santini",https://soundcloud.com/jupiter4records,https://soundcloud.com/jupiter4records,https://www.instagram.com/jupiter4__/;https://soundcloud.com/jupiter4records,https://soundcloud.com/jupiter4records,4680,"DEJEMONOS CAER 
(っ˘ڡ˘ς)
donde t̴͍̠͔͖̂̃͋͒́̄͐̿͛o̶̧͎̰͈̟̹͓͋̈d̵̡̲̤̱̥̐͒̓͆͝ǫ̷̱̝̳̹͒͂͘
EMPIEZA A SER
REAL

Bookings: info@jupiter-4.com",https://i1.sndcdn.com/avatars-RWe4KzhoWaZXgF2j-XvP7tg-large.jpg,techno; bass,ok,2026-07-11T09:17:17+00:00
DJ NAH CARE,https://www.wholefestival.com/lineup,"DJ NAH CARE is a well-known name in Copenhagen’s queer community and a firm fixture of the city’s progressive nightlife. Over the past decade, he has developed a characteristically kinetic sound that blends hard groove, trance, sexy house, and kunty club edits, with emphatic nods to his Kurdish roots. Photographer: Daniel Hjorth",https://soundcloud.com/djnahcare,https://soundcloud.com/djnahcare,https://www.instagram.com/_nahcare/;https://soundcloud.com/djnahcare,https://soundcloud.com/djnahcare,822,"DJ NAH CARE
Club Versatile 
Endurance CPH 
MISS THING

@ _nahcare

DJNAHCARE@gmail.com",https://i1.sndcdn.com/avatars-lnJ8cKehzqBTg8pT-GSitUg-large.jpg,house; trance,ok,2026-07-11T09:17:17+00:00
DJ Petite,https://www.wholefestival.com/lineup,"DJ Petite is an Irish born, Berlin based DJ whose sets are an immersive exploration of sound from ’90s house to contemporary, booty-bouncing beats. Moving through emotion, rhythm and release, they blend sensual rhythms with raw energy to create dancefloors charged with connection, play and intimacy. Where people can lose themselves and find themselves again. Deeply inspired by the history and roots of queer nightlife, their sound captures the pulse of freedom, desire and the community that defines it. They are a vessel for the community, the music moves through them with a higher purpose of the dancefloor. With residencies at tracey in Berlin and Kinky Sundays in Hamburg, DJ Petite channels the spirit of club kid culture by blurring boundaries, celebrating individuality and reminding us that music isn’t just sound but energy, memory and feeling: a space to heal, to touch, to be free. Photographer: Marina Mónaco",https://soundcloud.com/user-71697889,https://soundcloud.com/user-71697889,https://www.instagram.com/markgilleran;https://soundcloud.com/user-71697889,https://soundcloud.com/user-71697889,326,"Co-Creator @tracey.club
Resident @lunchbox-candy @kinky-sundays",https://i1.sndcdn.com/avatars-gIqgk86DyuyrkuiG-7eGGAA-large.jpg,house,ok,2026-07-11T09:17:17+00:00
DUALITY,https://www.wholefestival.com/lineup,"Founder of Transit, one of Manila’s most exciting underground parties, known for its collaborations with Elephant and its strong presence in the city’s electronic scene. DUALITY DJ is part of KWIA’s 5-hour takeover, closing the Ambient Stage through to 5am Monday morning.\nPhoto by Cru Camara",https://on.soundcloud.com/nPJndshGjW6fj7yWhm,https://on.soundcloud.com/nPJndshGjW6fj7yWhm,https://www.instagram.com/duality__dj/;https://www.mixcloud.com/seanmnl/;https://on.soundcloud.com/nPJndshGjW6fj7yWhm,https://soundcloud.com/duality_dj,50,"Duality 「aka Sean Bautista」has a unique take on music that showcases the duplexity of his musical references. His sound is distinctly deep, percussive, and bass-forward, conveying an aversion to rigidity by mixing the old with the new, as well as analogue with digital. These qualities make his sets refined yet complex. Whether he’s transporting the room into mental dimensions or warming up the floor with atmospheric textures, he’s sure to deliver layers of meticulously arranged sonic frequencies.",https://i1.sndcdn.com/avatars-LQiFdr59IDNxq9Qa-V3gP3A-large.jpg,ambient,ok,2026-07-11T09:17:17+00:00
Duo Geboy,https://www.wholefestival.com/lineup,"Duo Geboy is an Indonesian queer sensual dance duo, serving hips of the archipelago by storm. Through joget dangdut, they remember, seduce, survive, and celebrate life.\n\nDUO GEBOY is Instant Slurp and Dirandra. They are part of the collective Nusaqueer Diaspora and will be performing along with 3RODA FULL BASS during their set at TRINA.",,,https://www.instagram.com/instant_slurp;https://www.instagram.com/dirandrakala,,,,,bass,no_soundcloud_link,2026-07-11T09:17:17+00:00
E.T.,https://www.wholefestival.com/lineup,"E.T. is a Kazakh DJ based in Almaty and an emerging key figure in the country’s underground electronic music scene. He is a resident member of the ZVUK collective and co-founder of the MOBILESUBURB record label, which provides a platform for niche artists from his homeland, Kazakhstan. The name E.T. is a play on the Kazakh phrase for “meaty beats,” a fitting reflection of his strong inclination toward dense, hyper-energetic tracks within the realm of leftfield club tools. His sets possess an extraordinary ability to ignite intensity, even in the most reserved dancers. While deeply rooted in Kazakhstan’s electronic music landscape, E.T.’s dynamic performances have also taken him to renowned international parties and festivals, including Herrensauna at Tresor (Germany), WHOLE Festival (Germany), Den Anden Side (Denmark), Office (Armenia), HOT!HOT!HOT! Festival (Norway), Secta (United Arab Emirates), Stihia (Uzbekistan), and PLUR (Kyrgyzstan).",https://soundcloud.com/yelnur,https://soundcloud.com/yelnur,https://www.instagram.com/dazedd_confusedd/;https://soundcloud.com/yelnur,https://soundcloud.com/yelnur,219,"Resident at @zvukalmaty (Almaty, KZ)

bookings: zvukalmaty@gmail.com


Co-founder at @mobilesuburb (KZ)",https://i1.sndcdn.com/avatars-Y7TmtzZvUISkuWNd-b463Jg-large.jpg,,ok,2026-07-11T09:17:17+00:00
Eau de Cologne,https://www.wholefestival.com/lineup,"Eau de Cologne in collaboration with Bassiani, curates a series of exclusive parties held every two months. Our mission is to create a safe, vibrant, and accepting space for the LGBTQ+ community and allies in Tbilisi, Georgia. Eau de Cologne's parties are more than just events; they are a means to inspire positive change and foster a sense of belonging and empowerment among marginalized communities.",,,https://www.instagram.com/eau_de_cologne_tbs/,,,,,,no_soundcloud_link,2026-07-11T09:17:17+00:00
EAU VIVE,https://www.wholefestival.com/lineup,"Eau Vive is inspired by sounds that lifts the spirit and gets the ass moving, everything that stirs a sense of nostalgia. A fan of percussion, thumping bass, and electronic beats, she prefers to follow her own flow and the moods that shift with the tides. She’s a DJ who likes to spin stories for the mutants twerking between two chairs. She picks up beats wherever the mood strikes her, but especially from the collections of Black, Afro-Creole, and Latin diaspora clubs. Bubbling, kuduro, logobi, batida, and bouyon rub up against acid, electric, and groovy sounds, which she spices up with vogue beats and queer club influences. A mix firmly rooted in the global south club movement that celebrates the club’s diasporic and underground origins. Photographer: Boolbeny Akabb",,,https://www.instagram.com/eauviv3/,,,,,acid; bass; latin; vogue,no_soundcloud_link,2026-07-11T09:17:17+00:00
ENTOURAGE,https://www.wholefestival.com/lineup,"Entourage is Atôn, Eau Vive, N0l4.44, and Nyēbra. A queer DJ collective based in Marseille that shares common values, aspirations, and a shared vision of the club and the party scene: community-oriented and honoring the club’s musical roots. Entourage is a circle of shared energy that brings together our artistic affinities, our diasporic influences, and our respective experiences behind the turntables. A space where we share, learn, and move forward together—both on and off the stage. Photographer: Boolbeny Akabb",,,https://www.instagram.com/entourag3/;https://www.helloasso.com/associations/maana/evenements/entourage?_gl=1%2abuoj46%2a_gcl_au%2aMTQ1MTAxNDA4OS4xNzcyNTUxOTc2LjE5NjcyMzk5MDYuMTc3MjU1NzIxOC4xNzcyNTU3MzI5&utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGny5iKfkcW7h85Dqt50BSWYFUQoQwmfxvVKTSx0pbLHIun9OVGu65r6co2sZI_aem_HWyO0C5QyrqFgVu9XPPFBg,,,,,,no_soundcloud_link,2026-07-11T09:17:17+00:00
Erika,https://www.wholefestival.com/lineup,"Erika dreams on the cellular level, or perhaps of transdimensional intelligences moving through strange patterns on celestial objects, working towards a mysterious goal. Her connection to the dreamworld becomes concrete in her approach to music, simultaneously so solid and yet so ethereal.\n\nAlongside Erika's artistic work, she is also a core force behind Interdimensional Transmissions, the Detroit-based label and party series, and the long-running No Way Back event, which takes place during Movement Festival weekend and has shaped generations of dancers and artists. We’re especially excited to welcome her to WHOLE’s ambient program, where she’ll present a 1.5-hour live set—an especially rare opportunity to experience her ambient work.\n\nPhoto by Andrew Charles Edman",https://soundcloud.com/erikadotnet,https://soundcloud.com/erikadotnet,https://www.instagram.com/erikadotnet/;https://erika.bandcamp.com;https://soundcloud.com/erikadotnet,https://soundcloud.com/erikadotnet,5649,"to book live or DJ —
NA: michelle@thebunkerny.com
rest of world: mike@berytus.art",https://i1.sndcdn.com/avatars-000479344248-4ee0ri-large.jpg,ambient,ok,2026-07-11T09:17:17+00:00
EROS IN FURS,https://www.wholefestival.com/lineup,"EROS IN FURS (they/them) is a Berlin-based ritual artist, performer, and choreographer who makes shows that touch you in both body and spirit. Blending Butoh, drag, contemporary dance, and an obsession with death and rebirth, their work creates spaces for queer grief, desire, and the kind of liberation that feels like coming home. A devotee of Pluto, portals, and the liminal, EROS doesn’t just put on shows - they open thresholds. Photographer: @lonelyrodeostar",,,https://www.instagram.com/erosinfurs/,,,,,,no_soundcloud_link,2026-07-11T09:17:17+00:00
Eva van Dijk & AV Freya,https://www.wholefestival.com/lineup,"Berlin-based artists and producers AV FREYA and EVA VAN DIJK create experimental pop in their where textured instruments gently float through digital layers. Their collaboration began in the studio through client productions before unfolding on stages across the city with their original music. Their live sound blends floating guitars, shimmering synths and airy vocals, letting tension and tenderness collide in dreamlike softness. Catch them performing live at the ambient stage Saturday evening!",,,https://evavandijk.bandcamp.com/;https://bandcamp.com/avfreya;https://www.instagram.com/evandijk_;https://www.instagram.com/avfreya,,,,,ambient; experimental; pop,no_soundcloud_link,2026-07-11T09:17:17+00:00
Fagatha Crispy,https://www.wholefestival.com/lineup,"Fagatha Crispy is a creature shaken by the beautiful, sad and overwhelming world around her. Both parts a naive little clown and a fierce femme. Don't break her heart, she will break yours. Photographer: Elizaveta Bogachova",,,https://www.instagram.com/fagatha.crispy/,,,,,,no_soundcloud_link,2026-07-11T09:17:17+00:00
FARAONIKA,https://www.wholefestival.com/lineup,"FARAONIKA is a singer, producer, and performer born in La Plata, Argentina. Her project blends pop fantasy, esoteric aesthetics, and sensual theatricality into a striking audiovisual identity. Rooted in queer expression, transformation, and desire, she has established herself as one of the most distinctive voices in the contemporary Argentine scene. Throughout her career, she has collaborated with artists and producers such as Fiah Miau, Cimarrón, Merca Bae, Chico Sonido, and Ojosfinos, expanding her sonic universe while maintaining an elegant yet defiant artistic identity.",,,https://www.instagram.com/faraonikababy;https://linktr.ee/faraonika?utm_source=linktree_profile_share&ltsid=3e8ea3c1-bcc4-4418-8771-6324a1b1e968,,,,,pop,no_soundcloud_link,2026-07-11T09:17:17+00:00
